handle	text
HillaryClinton	“Muchos neoyorquinos luchan por pagar la renta ... y las familias latinas y afroamericanas son las más afectadas”. https://t.co/iUuLn5I5Un
HillaryClinton	"A great day in East Harlem, in photos. https://t.co/gHbulHPSLu https://t.co/jclVhj7jtD"
HillaryClinton	Our hearts go out to the people of Ecuador and the families who lost loved ones from yesterday's earthquake. -H
HillaryClinton	Nuestros corazones están con los ecuatorianos y las familias que perdieron a seres queridos en el terremoto de ayer.
HillaryClinton	"If we stand up for our values instead of turning to division and hate, there's nothing we can't do.
https://t.co/qGQhd9sOmy"
HillaryClinton	"""Anything is possible. Do not let where you come from dictate your life.""
How one New York school is changing lives: https://t.co/QoaXphZmgc"
HillaryClinton	".@TomColicchio, thanks for your work on this issue. Your zip code shouldn't determine your ability to access healthy, affordable food."
HillaryClinton	"No child should have to live in fear of losing her parents to deportation. #FightForFamilies
https://t.co/iOICFi8uQ2"
HillaryClinton	Encuentre dónde votar en Nueva York aquí →  https://t.co/S0VaGHnceD #EstoyConElla https://t.co/f9bPIpE2uo
HillaryClinton	"To everyone in Houston, please stay safe and avoid traveling. Our prayers are with you. #HoustonFlood -H"
HillaryClinton	"Millions of families who call America home live in fear of being torn apart by deportation. Today, SCOTUS begins deciding their fate. -H"
HillaryClinton	I will protect President Obama's executive actions to keep these families together and go even further to bring more families relief. -H
HillaryClinton	We need comprehensive immigration reform now. I'll propose legislation within my first 100 days as president. -H
HillaryClinton	It's time to create a path to full and equal citizenship and finally fix our broken immigration system. #FightForFamilies -H
HillaryClinton	"""She promised me to block the Constitutional amendment against gay marriage. And she did."" https://t.co/VITevzhBTk https://t.co/eq4lO7eNGz"
HillaryClinton	".@NYTimes on Hillary: ""One of the most broadly and deeply qualified presidential candidates in modern history."" https://t.co/UMtPYHminz"
HillaryClinton	"Push forward into the unknown, @StephenAtHome. Watch Hillary on @colbertlateshow at 11:30pm ET. #LSSC
https://t.co/SokqHNxkKP"
HillaryClinton	"We don't all look the same, or sound the same, or worship the same—and that's one of America's biggest strengths.
https://t.co/m4CJ0NgBhq"
HillaryClinton	Every Republican presidential candidate would reverse @POTUS’s executive actions on immigration. https://t.co/UejylRk2Qb #FightForFamilies
HillaryClinton	"Go vote today, New York—Hillary needs you. Text WHERE to 47246 to find your polling place."
HillaryClinton	¡Alza tu voz! Encuentre dónde votar en Nueva York aquí → https://t.co/XFC2bmOTde #EstoyConElla https://t.co/BWBoK3Ex6S
HillaryClinton	New Yorkers head to the polls today. RT this if you’re voting for Hillary. https://t.co/frhgx4Yu2s
HillaryClinton	"We asked New Yorkers what they really think of Donald Trump.

They didn’t hold back. https://t.co/jqhLAPqyRf https://t.co/lP0Tc9OiNs"
HillaryClinton	First stop on New York primary day. #iVoted #PrimaryDay https://t.co/K6dKcM7nwB
HillaryClinton	"Go vote, New York. It'll only take you one try. https://t.co/gRqmpE5EVh #PrimaryDay https://t.co/H7bPYy5Yuu"
HillaryClinton	It's #PrimaryDay in New York. Get all you need to know on our live blog: https://t.co/LB1MIvu39F https://t.co/pXFWgcZPDt
HillaryClinton	"Our country can't reach its potential unless we all do.
https://t.co/U9OhBS1wss"
HillaryClinton	"If we have each other's backs and treat each other with kindness and respect, there's nothing we can't do.
https://t.co/ZUYkzKMLyo"
HillaryClinton	Just a few hours until polls close in New York. Get the latest from #PrimaryDay on our live blog → https://t.co/F1KFQkAA2Z
HillaryClinton	¿Cómo funciona el sistema de delegados? Nuestro experto en delegados nos explica en esta entrevista. https://t.co/ylM6d6mDoy
HillaryClinton	"Just a few hours left to vote in the NY primary. Confirm your polling place, then head over: https://t.co/iwiO5B9eal https://t.co/RcH0H3ecRN"
