"trend","symbol","n_period","l_period","date","target","pred_final_avg","pred_final"
"bullish","AAPL",1,1,2020-01-03,"No",0.077352708325207,0
"bullish","AAPL",1,1,2020-01-06,"No",0.0801775102341896,0
"bullish","AAPL",1,1,2020-01-07,"Yes",0.184112036353678,0
"bullish","AAPL",1,1,2020-01-08,"Yes",0.320424388873086,0
"bullish","AAPL",1,1,2020-01-09,"No",0.0828661221280816,0
"bullish","AAPL",1,1,2020-01-10,"Yes",0.0794119507430479,0
"bullish","AAPL",1,1,2020-01-13,"No",0.237038586705503,0
"bullish","AAPL",1,1,2020-01-14,"No",0.0741604609222585,0
"bullish","AAPL",1,1,2020-01-15,"No",0.0747770420307192,0
"bullish","AAPL",1,1,2020-01-16,"No",0.283376044230683,0
"bullish","AAPL",1,1,2020-01-17,"No",0.0837079501576605,0
"bullish","AAPL",1,1,2020-01-21,"No",0.0900684785331128,0
"bullish","AAPL",1,1,2020-01-22,"No",0.0947405261249308,0
"bullish","AAPL",1,1,2020-01-23,"No",0.615253449726563,1
"bullish","AAPL",1,1,2020-01-24,"No",0.226153092362006,0
"bullish","AAPL",1,1,2020-01-27,"Yes",0.281935187331889,0
"bullish","AAPL",1,1,2020-01-28,"Yes",0.31433357674293,0
"bullish","AAPL",1,1,2020-01-29,"No",0.087759451385068,0
"bullish","AAPL",1,1,2020-01-30,"No",0.22286367541837,0
"bullish","AAPL",1,1,2020-01-31,"No",0.721310701208874,1
"bullish","AAPL",1,1,2020-02-03,"Yes",0.433042373499045,0
"bullish","AAPL",1,1,2020-02-04,"No",0.0934528750188968,0
"bullish","AAPL",1,1,2020-02-05,"No",0.0846384998655269,0
"bullish","AAPL",1,1,2020-02-06,"No",0.138999579276908,0
"bullish","AAPL",1,1,2020-02-07,"No",0.0842731076677927,0
"bullish","AAPL",1,1,2020-02-10,"No",0.0911146882799381,0
"bullish","AAPL",1,1,2020-02-11,"Yes",0.220066074571559,0
"bullish","AAPL",1,1,2020-02-12,"No",0.0831871825084693,0
"bullish","AAPL",1,1,2020-02-13,"No",0.0900535387641564,0
"bullish","AAPL",1,1,2020-02-14,"No",0.266588868832245,0
"bullish","AAPL",1,1,2020-02-18,"No",0.214918528112907,0
"bullish","AAPL",1,1,2020-02-19,"No",0.172242306701599,0
"bullish","AAPL",1,1,2020-02-20,"No",0.373423097062959,0
"bullish","AAPL",1,1,2020-02-21,"No",0.39399306814842,0
"bullish","AAPL",1,1,2020-02-24,"No",0.620133282427655,1
"bullish","AAPL",1,1,2020-02-25,"Yes",0.779384015623321,1
"bullish","AAPL",1,1,2020-02-26,"No",0.551708301135565,1
"bullish","AAPL",1,1,2020-02-27,"No",0.686355660814586,1
