"trend","symbol","n_period","l_period","trainMethod","term","class","estimate","conf.low","conf.high","p.value"
"bullish","AAPL",1,1,"glm","accuracy",NA,0.724770642201835,0.630957237798383,0.80598198516237,0.463790960083822
"bullish","AAPL",1,1,"glm","kappa",NA,0.180451127819549,NA,NA,0.00191077513736444
"bullish","AAPL",1,1,"glm","sensitivity","Yes",0.225806451612903,NA,NA,NA
"bullish","AAPL",1,1,"glm","specificity","Yes",0.923076923076923,NA,NA,NA
"bullish","AAPL",1,1,"glm","pos_pred_value","Yes",0.538461538461539,NA,NA,NA
"bullish","AAPL",1,1,"glm","neg_pred_value","Yes",0.75,NA,NA,NA
"bullish","AAPL",1,1,"glm","precision","Yes",0.538461538461538,NA,NA,NA
"bullish","AAPL",1,1,"glm","recall","Yes",0.225806451612903,NA,NA,NA
"bullish","AAPL",1,1,"glm","f1","Yes",0.318181818181818,NA,NA,NA
"bullish","AAPL",1,1,"glm","prevalence","Yes",0.284403669724771,NA,NA,NA
"bullish","AAPL",1,1,"glm","detection_rate","Yes",0.0642201834862385,NA,NA,NA
"bullish","AAPL",1,1,"glm","detection_prevalence","Yes",0.119266055045872,NA,NA,NA
"bullish","AAPL",1,1,"glm","balanced_accuracy","Yes",0.574441687344913,NA,NA,NA
"bullish","AAPL",1,1,"nb","accuracy",NA,0.706422018348624,0.611522811037529,0.789761754017486,0.630050418342919
"bullish","AAPL",1,1,"nb","kappa",NA,0.292494929006085,NA,NA,0.859683795198666
"bullish","AAPL",1,1,"nb","sensitivity","Yes",0.516129032258065,NA,NA,NA
"bullish","AAPL",1,1,"nb","specificity","Yes",0.782051282051282,NA,NA,NA
"bullish","AAPL",1,1,"nb","pos_pred_value","Yes",0.484848484848485,NA,NA,NA
"bullish","AAPL",1,1,"nb","neg_pred_value","Yes",0.802631578947368,NA,NA,NA
"bullish","AAPL",1,1,"nb","precision","Yes",0.484848484848485,NA,NA,NA
"bullish","AAPL",1,1,"nb","recall","Yes",0.516129032258065,NA,NA,NA
"bullish","AAPL",1,1,"nb","f1","Yes",0.5,NA,NA,NA
"bullish","AAPL",1,1,"nb","prevalence","Yes",0.284403669724771,NA,NA,NA
"bullish","AAPL",1,1,"nb","detection_rate","Yes",0.146788990825688,NA,NA,NA
"bullish","AAPL",1,1,"nb","detection_prevalence","Yes",0.302752293577982,NA,NA,NA
"bullish","AAPL",1,1,"nb","balanced_accuracy","Yes",0.649090157154673,NA,NA,NA
"bullish","AAPL",1,1,"gbm","accuracy",NA,0.844036697247706,0.762071437957777,0.906440231515566,0.0012879648556479
