date,room_sold,adr,revenue
1/1/2016,124,147.2,18252
1/2/2016,118,142.6,16827
1/3/2016,128,151.62,19408
1/4/2016,151,145.34,21947
1/5/2016,141,119.21,16809
1/6/2016,135,110.84,14964
1/7/2016,140,119.27,16698
1/8/2016,119,124.89,14862
1/9/2016,145,164.14,23800
1/10/2016,151,173.88,26256
1/11/2016,149,167.21,24915
1/12/2016,146,148.63,21700
1/13/2016,128,128.62,16463
1/14/2016,148,164.24,24307
1/15/2016,127,138.9,17641
1/16/2016,130,221.83,28838
1/17/2016,139,237.65,33033
1/18/2016,142,223.53,31742
1/19/2016,139,182.37,25350
1/20/2016,141,121.01,17062
1/21/2016,132,136.71,18046
1/22/2016,134,120.71,16175
1/23/2016,118,162.13,19131
1/24/2016,133,195.08,25945
1/25/2016,147,192.82,28344
1/26/2016,151,144.2,21774
1/27/2016,140,118.67,16613
1/28/2016,150,121.88,18282
1/29/2016,122,119.28,14552
1/30/2016,136,177.73,24171
1/31/2016,142,201.26,28578
2/1/2016,149,200.44,29866
2/2/2016,142,143.09,20319
2/3/2016,125,119.94,14992
2/4/2016,150,126.62,18993
2/5/2016,107,112.28,12014
2/6/2016,142,178.97,25414
2/7/2016,146,201.24,29381
2/8/2016,151,200.06,30208
2/9/2016,146,177.04,25848
2/10/2016,134,152.91,20490
2/11/2016,147,222.95,32773
2/12/2016,134,164.61,22058
2/13/2016,132,170.73,22537
2/14/2016,136,198.9,27050
2/15/2016,139,202.46,28142
2/16/2016,150,180.27,27040
2/17/2016,140,142.5,19951
2/18/2016,146,141.97,20727
2/19/2016,120,133.3,15997
2/20/2016,136,176.94,24065
2/21/2016,147,202.3,29739
2/22/2016,146,197.17,28787
2/23/2016,150,145.98,21896
2/24/2016,138,89.77,12389
2/25/2016,151,121.34,18323
2/26/2016,125,128.61,16077
2/27/2016,134,161.08,21585
2/28/2016,137,210.91,28895
2/29/2016,140,150.6942857,21136
3/1/2016,146,209.91,30646
3/2/2016,151,171.53,25901
3/3/2016,141,151.41,21349
3/4/2016,148,148.41,21965
3/5/2016,122,151.24,18451
3/6/2016,134,205.58,27547
3/7/2016,141,230.65,32522
3/8/2016,148,230.7,34144
3/9/2016,146,182.03,26576
3/10/2016,149,164.25,24473
3/11/2016,146,188.63,27540
3/12/2016,121,143.16,17323
3/13/2016,144,244.28,35177
3/14/2016,146,276.43,40358
3/15/2016,143,260.65,37273
3/16/2016,147,247.75,36419
3/17/2016,149,219.86,32759
3/18/2016,147,229.54,33743
3/19/2016,134,171.5,22981
3/20/2016,137,250.15,34271
3/21/2016,142,273.25,38801
3/22/2016,149,271.41,40439
3/23/2016,147,225.83,33197
3/24/2016,143,223.47,31957
3/25/2016,146,217.91,31816
3/26/2016,102,168.47,17183
3/27/2016,127,235.91,29961
3/28/2016,128,255.3,32679
3/29/2016,146,266.83,38958
3/30/2016,151,272.29,41116
3/31/2016,147,206.74,30390
4/1/2016,138,208.53,28777
4/2/2016,115,157.64,18128
4/3/2016,140,235.28,32939
4/4/2016,140,276.71,38740
4/5/2016,141,290.63,40979
4/6/2016,151,270.32,40818
4/7/2016,139,224.66,31228
4/8/2016,147,236.25,34729
4/9/2016,145,206.29,29912
4/10/2016,130,276.35,35926
4/11/2016,136,294.8,40092
4/12/2016,140,286.95,40173
4/13/2016,151,295.71,44652
4/14/2016,151,255.81,38627
4/15/2016,150,267.21,40082
4/16/2016,146,196.86,28741
4/17/2016,138,268.81,37095
4/18/2016,137,305.3,41826
4/19/2016,146,302.94,44230
4/20/2016,143,257.9,36880
4/21/2016,147,207.64,30523
4/22/2016,147,230.65,33905
4/23/2016,108,159.39,17214
4/24/2016,136,229.97,31275
4/25/2016,134,273.46,36643
4/26/2016,136,287.32,39075
4/27/2016,147,229.18,33690
4/28/2016,146,200.47,29269
4/29/2016,149,290.73,43319
4/30/2016,129,220.23,28410
5/1/2016,134,293.47,39325
5/2/2016,137,357.56,48986
5/3/2016,146,344.56,50305
5/4/2016,148,293.16,43387
5/5/2016,146,265.86,38815
5/6/2016,148,260.53,38558
5/7/2016,125,202.05,25256
5/8/2016,134,290.65,38947
5/9/2016,146,340.24,49675
5/10/2016,147,345.08,50727
5/11/2016,146,295.81,43188
5/12/2016,146,245.83,35892
5/13/2016,150,273.28,40992
5/14/2016,126,269.41,33946
5/15/2016,151,369,55719
5/16/2016,151,463.88,70046
5/17/2016,151,435.06,65694
5/18/2016,151,325.52,49154
5/19/2016,148,275.43,40764
5/20/2016,148,256.79,38006
5/21/2016,131,203.13,26610
5/22/2016,134,284.13,38073
5/23/2016,137,308.2,42224
5/24/2016,135,276.43,37318
5/25/2016,136,216.54,29449
5/26/2016,149,223.97,33371
5/27/2016,148,241.53,35746
5/28/2016,147,216.18,31779
5/29/2016,122,161.78,19737
5/30/2016,138,230.42,31798
5/31/2016,150,273.52,41028
6/1/2016,149,245.47,36575
6/2/2016,146,230.46,33647
6/3/2016,146,254.83,37205
6/4/2016,117,208.79,24428
6/5/2016,140,330.17,46224
6/6/2016,150,404.44,60666
6/7/2016,146,399.88,58382
6/8/2016,139,264.52,36769
6/9/2016,148,218.83,32387
6/10/2016,148,253.59,37531
6/11/2016,137,197.94,27117
6/12/2016,141,306.36,43197
6/13/2016,141,385.22,54316
6/14/2016,146,371.63,54257
6/15/2016,138,264.01,36434
6/16/2016,151,241.85,36519
6/17/2016,146,227.64,33235
6/18/2016,124,181.65,22525
6/19/2016,135,263.16,35526
6/20/2016,137,324.76,44492
6/21/2016,151,330.64,49927
6/22/2016,148,265.73,39328
6/23/2016,146,260.03,37965
6/24/2016,149,278.08,41434
6/25/2016,146,233.88,34146
6/26/2016,151,272.98,41219
6/27/2016,146,266.98,38980
6/28/2016,134,245.14,32848
6/29/2016,139,195.46,27168
6/30/2016,148,169.82,25133
7/1/2016,147,187.57,27572
7/2/2016,123,155.25,19096
7/3/2016,131,142.28,18639
7/4/2016,121,177.99,21537
7/5/2016,140,199.73,27963
7/6/2016,128,173.19,22169
7/7/2016,114,166.15,18941
7/8/2016,138,177.18,24450
7/9/2016,117,184.09,21539
7/10/2016,142,308.34,43784
7/11/2016,149,333.12,49635
7/12/2016,151,344.01,51946
7/13/2016,147,232.86,34230
7/14/2016,150,224.49,33673
7/15/2016,151,215.01,32467
7/16/2016,135,191.76,25888
7/17/2016,143,299.21,42787
7/18/2016,151,340.98,51487
7/19/2016,149,326.92,48711
7/20/2016,131,244.11,31979
7/21/2016,148,219.91,32546
7/22/2016,149,225.85,33652
7/23/2016,134,192.42,25784
7/24/2016,142,275.28,39089
7/25/2016,146,300.62,43890
7/26/2016,148,279.36,41345
7/27/2016,149,223.74,33337
7/28/2016,143,201.05,28751
7/29/2016,149,216.4,32244
7/30/2016,120,175.25,21030
7/31/2016,146,270.79,39536
8/1/2016,142,293.33,41653
8/2/2016,132,263.06,34725
8/3/2016,137,196.2,26879
8/4/2016,148,185.19,27409
8/5/2016,150,196.78,29517
8/6/2016,127,215.32,27346
8/7/2016,142,244.75,34754
8/8/2016,135,266.96,36040
8/9/2016,138,253.99,35050
8/10/2016,151,217.69,32871
8/11/2016,147,180.79,26576
8/12/2016,149,197.4,29413
8/13/2016,143,176.1,25183
8/14/2016,142,221.26,31419
8/15/2016,146,260.36,38012
8/16/2016,138,253.68,35008
8/17/2016,146,203.27,29677
8/18/2016,146,203.57,29721
8/19/2016,147,214.77,31572
8/20/2016,124,191.31,23723
8/21/2016,140,225.76,31607
8/22/2016,141,254.41,35872
8/23/2016,147,240.85,35404
8/24/2016,132,203.26,26831
8/25/2016,147,215.58,31691
8/26/2016,151,267.9,40452
8/27/2016,131,181.61,23791
8/28/2016,148,223.91,33138
8/29/2016,144,249.51,35929
8/30/2016,151,242.69,36645
8/31/2016,133,218.65,29080
9/1/2016,148,240.42,35582
9/2/2016,150,272.16,40824
9/3/2016,146,222.09,32424
9/4/2016,110,170.09,18710
9/5/2016,127,284.67,36153
9/6/2016,149,349.41,52063
9/7/2016,138,327.39,45180
9/8/2016,128,258.98,33150
9/9/2016,151,260.09,39274
9/10/2016,126,264.31,33304
9/11/2016,132,382.72,50518
9/12/2016,139,421.01,58521
9/13/2016,150,425.25,63788
9/14/2016,150,339.76,50963
9/15/2016,149,280.56,41804
9/16/2016,150,299.99,44998
9/17/2016,127,297.09,37730
9/18/2016,129,439.04,56636
9/19/2016,149,488.43,72776
9/20/2016,151,478,72178
9/21/2016,147,341.71,50231
9/22/2016,146,298.41,43568
9/23/2016,146,303.48,44308
9/24/2016,121,266.94,32300
9/25/2016,143,353.73,50583
9/26/2016,143,387.29,55383
9/27/2016,139,383.73,53338
9/28/2016,151,317.82,47991
9/29/2016,148,247.77,36670
9/30/2016,150,251.33,37699
10/1/2016,132,216.35,28558
10/2/2016,125,281.23,35153
10/3/2016,142,336.86,47834
10/4/2016,146,362.71,52956
10/5/2016,140,323.27,45257
10/6/2016,146,301.32,43993
10/7/2016,151,294.31,44441
10/8/2016,146,260.8,38077
10/9/2016,148,234.69,34734
10/10/2016,139,293.04,40732
10/11/2016,150,316.99,47548
10/12/2016,151,322.59,48712
10/13/2016,146,283.9,41449
10/14/2016,150,271.06,40659
10/15/2016,131,204.61,26804
10/16/2016,139,323.91,45023
10/17/2016,146,392.09,57245
10/18/2016,143,379.83,54316
10/19/2016,148,315.63,46714
10/20/2016,149,281.88,42000
10/21/2016,148,326.69,48350
10/22/2016,143,269.83,38585
10/23/2016,142,363.75,51653
10/24/2016,148,396.99,58755
10/25/2016,151,402.31,60748
10/26/2016,149,320.62,47772
10/27/2016,145,244.86,35505
10/28/2016,151,238.13,35958
10/29/2016,121,196.68,23798
10/30/2016,115,253.79,29186
10/31/2016,139,359.7,49999
11/1/2016,151,363.19,54841
11/2/2016,151,336.46,50805
11/3/2016,146,257.58,37607
11/4/2016,147,319.8,47010
11/5/2016,133,215.18,28618
11/6/2016,121,256.97,31093
11/7/2016,131,325.04,42581
11/8/2016,151,336.61,50828
11/9/2016,146,299.87,43780
11/10/2016,149,288.03,42917
11/11/2016,151,301.25,45489
11/12/2016,136,232.79,31659
11/13/2016,146,354.43,51747
11/14/2016,151,401.78,60669
11/15/2016,151,392.01,59193
11/16/2016,150,320.38,48057
11/17/2016,139,196.79,27354
11/18/2016,148,221.37,32762
11/19/2016,150,152.49,22873
11/20/2016,151,147.16,22221
11/21/2016,132,150.24,19832
11/22/2016,138,198.67,27416
11/23/2016,141,202.86,28603
11/24/2016,139,199.89,27784
11/25/2016,136,187.41,25488
11/26/2016,128,150.61,19278
11/27/2016,119,187.06,22260
11/28/2016,127,294.77,37435
11/29/2016,136,335.04,45565
11/30/2016,138,322.59,44517
12/1/2016,146,285.49,41681
12/2/2016,146,311.71,45510
12/3/2016,137,250.59,34331
12/4/2016,138,438.35,60492
12/5/2016,148,504.08,74605
12/6/2016,148,496.37,73463
12/7/2016,150,372.36,55854
12/8/2016,148,319.29,47254
12/9/2016,150,312.22,46834
12/10/2016,126,219.44,27650
12/11/2016,141,261.69,36898
12/12/2016,137,328.46,44999
12/13/2016,146,319.17,46599
12/14/2016,141,232.38,32766
12/15/2016,146,203.97,29780
