Size,NAs,PercentNAs,TestSize,RF1Accuracy,RF2Accuracy,RF3Accuracy,SVM1Accuracy,SVM2Accuracy,DT1Accuracy,RFTime,SVMTime,DTTime,SVMVarSize
400,90,0.2250,310,0.895,0.895,0.895,0.833,0.974,0.897,0.06,0.02,0.01,54
800,232,0.2900,568,0.965,0.972,0.965,0.486,0.951,0.944,0.05,0.01,0.01,65
1600,433,0.2706,1167,0.945,0.942,0.942,0.753,0.929,0.949,0.07,0.02,0.01,70
3200,853,0.2666,2347,0.942,0.944,0.945,0.494,0.937,0.942,0.10,0.36,0.01,75
6400,1709,0.2670,4691,0.950,0.945,0.946,0.604,0.955,0.924,0.16,0.06,0.01,77
12800,3597,0.2810,9203,0.945,0.941,0.942,0.483,0.930,0.920,0.27,0.30,0.02,91
25600,7461,0.2914,18139,0.944,0.951,0.951,0.545,0.924,0.924,0.51,0.81,0.03,102
65000,18047,0.2776,46953,0.942,0.953,0.953,0.580,0.926,0.930,1.40,5.33,0.09,110
130000,37958,0.2920,92042,0.941,0.948,0.948,0.570,0.917,0.910,3.04,35.73,0.17,117
195000,58456,0.2998,136544,0.931,0.946,0.946,0.590,0.915,0.900,5.51,84.80,0.28,123
260000,76303,0.2935,183697,0.927,0.944,0.944,0.510,0.910,0.897,8.70,234.89,0.37,125
325000,95505,0.2939,229495,0.923,0.940,0.940,0.570,0.912,0.989,12.24,256.77,0.47,125
390000,113828,0.2919,276172,0.918,0.936,0.936,0.549,0.910,0.879,16.96,351.01,0.58,128
455000,130985,0.2879,324015,0.911,0.931,0.931,0.530,0.909,0.877,22.33,664.07,0.79,129
520000,148330,0.2853,371670,0.908,0.927,0.927,0.535,0.909,0.874,27.88,556.60,0.85,130
585000,168151,0.2874,416849,0.903,0.922,0.923,0.525,0.908,0.869,33.75,1029.13,1.00,131
